Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
65	1	-3737.169	-3721.556	-15.61258	0.1885723	0.1636194	0.3559915	-0.07549952	0.0127058	0.524802	0.00441878	0.00971632	0.444791	0.00356578	0.08100853	0.000114325	0.0157645	0.282418	3.7017	0.285631	0.289578	0.143541	0.28125	0.005509015	14.70472
66	0	-3735.416	-3720.298	-15.11867	0.2349602	0.1959197	0.2913789	0.04364252	0.0132768	0.602461	0.00693276	0.000847653	0.368903	0.00757915	0.02840468	0.000460048	0.0314552	0.372925	3.59516	0.30402	0.308027	0.11648	0.271472	0.0720472	0.394251
67	1	-3738.208	-3721.706	-16.50196	0.1868914	0.1655587	0.3229179	-0.2291109	0.0124173	0.538165	0.00424287	0.0089202	0.434692	0.00156254	0.2354617	0.000126217	0.0165592	0.288102	3.69521	0.298702	0.284244	0.141969	0.275085	0.00635083	37.07574
68	0	-3741.408	-3726.13	-15.27825	0.2168327	0.1514508	0.2927583	0.09981518	0.0174162	0.561904	0.00882747	0.0015046	0.400613	0.00973497	0.01091795	5.79796e-05	0.0112464	0.246198	3.7425	0.307149	0.29845	0.128667	0.265735	0.1107331	0.09859692
69	1	-3738.864	-3720.975	-17.88961	0.194738	0.1685143	0.3500343	-0.3578665	0.0128049	0.568623	0.00595051	0.0088083	0.397769	0.00604469	0.3695453	0.000146122	0.017809	0.296711	3.68533	0.274381	0.312965	0.136045	0.276608	0.01167876	31.6425
70	0	-3734.214	-3719.489	-14.72477	0.2388745	0.1716577	0.3162663	-0.00303245	0.0084701	0.569884	0.00546612	0.00256067	0.406302	0.0073163	0.01199595	0.000169802	0.0191884	0.305792	3.67485	0.293615	0.307777	0.122625	0.275983	0.008963503	1.338311
71	1	-3738.653	-3722.42	-16.23299	0.2347644	0.1571305	0.2644712	-0.2017136	0.0127698	0.567067	0.0100228	0.0094691	0.396681	0.00399048	0.2355141	8.0649e-05	0.0132533	0.263213	3.72345	0.301367	0.309784	0.115051	0.273797	0.03380053	6.967765
72	0	-3736.922	-3721.575	-15.34689	0.2113902	0.1528621	0.3325037	0.02764415	0.0119284	0.56153	0.00445831	0.00297931	0.4105	0.0086041	0.0259856	6.30788e-05	0.0117282	0.250441	3.73777	0.287136	0.325706	0.127449	0.259708	0.05362975	0.484537
73	1	-3737.982	-3721.313	-16.66929	0.2223951	0.2111029	0.3195101	-0.013285	0.0134856	0.490899	0.0118213	0.00822543	0.467859	0.00770979	0.13583	0.000763744	0.0404163	0.412009	3.54681	0.287926	0.295968	0.146005	0.270101	0.122545	1.108409
74	0	-3737.393	-3720.488	-16.90473	0.1990061	0.1588665	0.3275802	-0.1278868	0.00946942	0.56083	0.00466401	0.00229933	0.415484	0.00725283	0.2048501	8.87884e-05	0.0139025	0.268378	3.71763	0.305501	0.310132	0.135996	0.24837	0.07696336	2.661658
75	1	-3743.637	-3724.616	-19.02092	0.2195613	0.220026	0.3320736	-0.01395947	0.0112277	0.477821	0.0139164	0.0116186	0.473684	0.011732	0.2643764	0.000995666	0.0460681	0.433881	3.51906	0.28699	0.311579	0.137919	0.263512	0.2504169	1.055745
76	0	-3738.716	-3723.062	-15.65425	0.1939589	0.1610206	0.3099815	-0.1233781	0.0102912	0.548533	0.00688305	0.00129407	0.420575	0.0124235	0.1362002	9.97509e-05	0.0147311	0.27476	3.71041	0.283035	0.306899	0.137593	0.272473	0.01282211	10.62229
77	1	-3748.159	-3728.954	-19.20571	0.2227582	0.1787973	0.3822388	0.1188096	0.00652206	0.668526	0.00852908	0.00822237	0.296083	0.0121183	0.183025	0.00023418	0.0225083	0.32611	3.65115	0.290485	0.306611	0.128364	0.27454	0.3018346	0.6063752
78	0	-3743.629	-3727.513	-16.11595	0.1985627	0.1990177	0.370863	-0.1137752	0.0124921	0.446559	0.00805426	0.00367726	0.50523	0.0239865	0.1212516	0.000513401	0.0332107	0.381089	3.58519	0.305133	0.2804	0.126385	0.288082	0.007476444	16.21782
79	1	-3738.099	-3722.595	-15.50431	0.2192155	0.1999149	0.2832195	-0.0325627	0.0073613	0.490535	0.0170545	0.00275952	0.472629	0.00966033	0.0955474	0.00052964	0.0337264	0.383436	3.58231	0.300433	0.295818	0.131237	0.272512	0.0629847	1.516994
80	0	-3738.333	-3722.28	-16.05323	0.1992242	0.1833222	0.3513181	-0.1193641	0.0122582	0.497728	0.00940167	0.00232741	0.451549	0.026735	0.1329032	0.000283392	0.0247419	0.338752	3.63622	0.288569	0.288581	0.142699	0.280151	0.01353912	9.816234
81	1	-3737.868	-3720.584	-17.28422	0.2635419	0.2003181	0.2582871	-0.1720069	0.00857957	0.482201	0.0194526	0.00447752	0.475021	0.0102687	0.2815198	0.000537056	0.0339592	0.384488	3.58102	0.302953	0.290982	0.138008	0.268057	0.1095129	2.570655
82	0	-3738.376	-3722.956	-15.41962	0.2011745	0.1875403	0.3306294	-0.02221346	0.0139687	0.536116	0.00132109	0.00328122	0.423391	0.0219218	0.05586516	0.000335736	0.0269108	0.350365	3.62239	0.306892	0.309125	0.126499	0.257484	0.0336517	1.660099
83	1	-3739.983	-3723.961	-16.02172	0.2494126	0.1919197	0.282286	0.006688973	0.00646113	0.515265	0.0134013	0.00507359	0.45129	0.0085087	0.104677	0.000397184	0.0292479	0.362242	3.60811	0.313713	0.301303	0.13619	0.248794	0.111366	0.939937
84	0	-3738.282	-3721.907	-16.37507	0.2289367	0.1896406	0.2968592	0.2189502	0.0146432	0.515852	0.00131711	0.00333039	0.443836	0.0210204	0.01497868	0.000364274	0.0280211	0.356085	3.61553	0.297534	0.295658	0.137825	0.268984	0.2339289	0.06403093
85	1	-3745.186	-3729.132	-16.05397	0.2461187	0.2009741	0.277576	-0.09622859	0.00477792	0.543976	0.0134072	0.00399772	0.42076	0.0130821	0.1604659	0.000549277	0.0343394	0.386196	3.57892	0.288832	0.322535	0.140549	0.248085	0.06423726	2.498018
86	0	-3741.164	-3724.156	-17.00729	0.2328603	0.208575	0.3560845	0.05339134	0.00898374	0.591245	0.00164704	0.00373461	0.37588	0.0185101	0.1001127	0.000705544	0.0388642	0.405665	3.55477	0.309268	0.291892	0.135125	0.263715	0.153504	0.6521828
87	1	-3744.852	-3728.664	-16.18868	0.2525384	0.2244239	0.3377047	-0.02795002	0.00503547	0.523109	0.0129857	0.00329373	0.443441	0.0121355	0.09991562	0.0011259	0.0489464	0.444362	3.50557	0.303851	0.279377	0.13513	0.281642	0.0719656	1.38838
88	0	-3739.839	-3724.52	-15.3189	0.2425053	0.1792997	0.3076131	0.05888713	0.0116815	0.510415	0.000997425	0.00498215	0.447414	0.0245101	0.02325205	0.000239307	0.0227514	0.327523	3.64949	0.310992	0.30415	0.120336	0.264523	0.08213918	0.2830811
89	1	-3743.583	-3727.522	-16.06111	0.2125604	0.2137665	0.3578595	0.036422	0.00977784	0.577606	0.013632	0.00239439	0.386908	0.00968191	0.05200807	0.000828581	0.0420757	0.418623	3.53847	0.284228	0.285215	0.126932	0.303625	0.08843007	0.5881265
90	0	-3737.827	-3721.712	-16.11507	0.2401338	0.2025163	0.3543144	0.06791237	0.0148798	0.503079	0.00141878	0.00629098	0.456018	0.0183138	0.03810801	0.000578783	0.0352397	0.390193	3.57399	0.295399	0.294652	0.133832	0.276118	0.1060204	0.3594404
91	1	-3742.996	-3724.246	-18.75052	0.1972691	0.2050851	0.3443378	0.1893384	0.00972571	0.566257	0.0100819	0.00314419	0.403915	0.00687626	0.1513019	0.000630382	0.0367596	0.396799	3.56581	0.293702	0.304958	0.121459	0.279881	0.3406403	0.4441691
92	0	-3742.326	-3725.802	-16.52413	0.2136102	0.1571603	0.268621	0.2366934	0.0139852	0.517001	0.00168258	0.00466976	0.454957	0.00770444	0.03173265	8.07839e-05	0.0132644	0.263302	3.72335	0.309991	0.283407	0.135085	0.271517	0.268426	0.1182175
93	1	-3738.904	-3723.715	-15.18907	0.2281717	0.1869784	0.2819551	0.1114243	0.0128328	0.502204	0.00948905	0.00627723	0.453822	0.0153753	0.004813316	0.000328387	0.0266172	0.348828	3.62423	0.292282	0.287455	0.149861	0.270402	0.1162377	0.04140926
